t_unix,pid,cpu_pct_user,cpu_pct_system,cpu_pct_total,rss_kb
1777901624,3350581,113.00,3.00,116.00,18778372
1777901625,3350581,104.00,0.00,104.00,18778372
1777901626,3350581,109.00,0.00,109.00,18778372
1777901627,3350581,104.00,0.00,104.00,18778372
1777901628,3350581,104.00,0.00,104.00,18778372
1777901629,3350581,110.00,0.00,110.00,18778372
1777901630,3350581,104.00,0.00,104.00,18778372
1777901631,3350581,104.00,0.00,104.00,18778372
1777901632,3350581,109.00,0.00,109.00,18778372
1777901633,3350581,104.00,0.00,104.00,18778372
1777901634,3350581,105.00,0.00,105.00,18778372
1777901635,3350581,108.00,0.00,108.00,18778372
1777901636,3350581,103.00,1.00,104.00,18778372
1777901637,3350581,105.00,0.00,105.00,18778372
1777901638,3350581,108.00,2.00,110.00,18778372
1777901639,3350581,104.00,0.00,104.00,18778372
1777901640,3350581,103.00,1.00,104.00,18778372
1777901641,3350581,108.00,1.00,109.00,18778372
1777901642,3350581,104.00,1.00,105.00,18778372
1777901643,3350581,103.00,1.00,104.00,18778372
1777901644,3350581,108.00,1.00,109.00,18778372
1777901645,3350581,103.00,1.00,104.00,18778372
1777901646,3350581,103.00,1.00,104.00,18778372
1777901648,3350581,108.00,1.00,109.00,18778372
1777901649,3350581,104.00,1.00,105.00,18778372
1777901650,3350581,104.00,1.00,105.00,18778372
1777901651,3350581,107.00,1.00,108.00,18778372
1777901652,3350581,104.00,1.00,105.00,18778372
1777901653,3350581,103.00,1.00,104.00,18778372
1777901654,3350581,106.00,2.00,108.00,18778372
1777901655,3350581,103.00,2.00,105.00,18778372
1777901656,3350581,108.00,0.00,108.00,18778372
1777901657,3350581,102.00,2.00,104.00,18778372
1777901658,3350581,103.00,2.00,105.00,18778372
1777901659,3350581,106.00,2.00,108.00,18778372
1777901660,3350581,103.00,1.00,104.00,18778372
1777901661,3350581,103.00,2.00,105.00,18778372
1777901662,3350581,108.00,2.00,110.00,18778372
1777901663,3350581,103.00,1.00,104.00,18778372
1777901664,3350581,103.00,1.00,104.00,18778372
1777901665,3350581,107.00,2.00,109.00,18778372
1777901666,3350581,102.00,2.00,104.00,18778372
1777901667,3350581,103.00,1.00,104.00,18778372
1777901668,3350581,108.00,1.00,109.00,18778372
1777901669,3350581,102.00,2.00,104.00,18778372
1777901670,3350581,102.00,2.00,104.00,18778372
1777901671,3350581,107.00,2.00,109.00,18778372
1777901672,3350581,103.00,1.00,104.00,18778372
1777901673,3350581,106.00,1.00,107.00,18778372
1777901674,3350581,104.00,2.00,106.00,18778372
1777901675,3350581,102.00,2.00,104.00,18778372
1777901676,3350581,107.00,2.00,109.00,18778372
1777901677,3350581,104.00,1.00,105.00,18778372
1777901678,3350581,102.00,1.00,103.00,18778372
1777901679,3350581,108.00,2.00,110.00,18778372
1777901680,3350581,102.00,2.00,104.00,18778372
1777901681,3350581,104.00,0.00,104.00,18778372
1777901682,3350581,106.00,3.00,109.00,18778372
1777901683,3350581,102.00,2.00,104.00,18778372
1777901684,3350581,102.00,2.00,104.00,18778372
1777901685,3350581,107.00,2.00,109.00,18778372
1777901686,3350581,103.00,2.00,105.00,18778372
1777901687,3350581,106.00,2.00,108.00,18778372
1777901688,3350581,103.00,1.00,104.00,18778372
1777901689,3350581,103.00,2.00,105.00,18778372
1777901690,3350581,107.00,1.00,108.00,18778372
1777901691,3350581,103.00,2.00,105.00,18778372
1777901692,3350581,103.00,1.00,104.00,18778372
1777901693,3350581,107.00,2.00,109.00,18778372
1777901694,3350581,103.00,1.00,104.00,18778372
1777901695,3350581,102.00,2.00,104.00,18778372
1777901696,3350581,108.00,2.00,110.00,18778372
1777901697,3350581,102.00,1.00,103.00,18778372
1777901698,3350581,103.00,2.00,105.00,18778372
1777901699,3350581,106.00,2.00,108.00,18778372
1777901700,3350581,103.00,2.00,105.00,18778372
1777901701,3350581,103.00,2.00,105.00,18778372
1777901702,3350581,106.00,2.00,108.00,18778372
1777901703,3350581,103.00,2.00,105.00,18778372
