t_unix,interval_s,hz_inst
1777903214,0.156248,6.4001
1777903214,0.354239,2.8230
1777903214,0.34216,2.9226
1777903214,0.359185,2.7841
1777903214,0.362219,2.7608
1777903214,0.333486,2.9986
1777903214,0.336386,2.9728
1777903214,0.32733,3.0550
1777903214,0.355365,2.8140
1777903214,0.340672,2.9354
1777903218,0.361557,2.7658
1777903218,0.353305,2.8304
1777903218,0.331938,3.0126
1777903218,0.33611,2.9752
1777903218,0.325281,3.0743
1777903218,0.338407,2.9550
1777903218,0.339419,2.9462
1777903218,0.328837,3.0410
1777903218,0.353096,2.8321
1777903218,0.323335,3.0928
1777903222,0.358596,2.7887
1777903222,0.344717,2.9009
1777903222,0.322904,3.0969
1777903222,0.325916,3.0683
1777903222,0.339642,2.9443
1777903222,0.343932,2.9076
1777903222,0.363108,2.7540
1777903222,0.341503,2.9282
1777903222,0.330812,3.0229
1777903222,0.315742,3.1671
1777903226,0.327897,3.0497
1777903226,0.338868,2.9510
1777903226,0.318065,3.1440
1777903226,0.336323,2.9733
1777903226,0.372429,2.6851
1777903226,0.345627,2.8933
1777903226,0.319502,3.1299
1777903226,0.337844,2.9599
1777903226,0.329266,3.0371
1777903226,0.330007,3.0302
1777903230,0.332357,3.0088
1777903230,0.345272,2.8963
1777903230,0.351231,2.8471
1777903230,0.320229,3.1228
1777903230,0.348638,2.8683
1777903230,0.326631,3.0616
1777903230,0.362481,2.7588
1777903230,0.368595,2.7130
1777903230,0.339553,2.9450
1777903230,0.323704,3.0892
1777903234,0.325201,3.0750
1777903234,0.329818,3.0320
1777903234,0.321549,3.1099
1777903234,0.315829,3.1663
1777903234,0.309446,3.2316
1777903234,0.336081,2.9755
1777903234,0.314009,3.1846
1777903234,0.319292,3.1319
1777903234,0.328134,3.0475
1777903234,0.313343,3.1914
1777903238,0.34623,2.8883
1777903238,0.31921,3.1327
1777903238,0.361846,2.7636
1777903238,0.373178,2.6797
1777903238,0.338943,2.9503
1777903238,0.339278,2.9474
1777903238,0.340033,2.9409
1777903238,0.320664,3.1185
1777903238,0.339807,2.9428
1777903238,0.37634,2.6572
1777903242,0.364551,2.7431
1777903242,0.336138,2.9750
1777903242,0.336844,2.9687
1777903242,0.337115,2.9663
1777903242,0.336597,2.9709
1777903242,0.325935,3.0681
1777903242,0.321087,3.1144
1777903242,0.333112,3.0020
1777903242,0.33498,2.9853
1777903243,0.333165,3.0015
1777903246,0.326338,3.0643
1777903246,0.347993,2.8736
1777903246,0.322371,3.1020
1777903246,0.325797,3.0694
1777903246,0.339341,2.9469
1777903246,0.318994,3.1349
1777903247,0.32653,3.0625
1777903247,0.331622,3.0155
1777903247,0.311318,3.2121
1777903247,0.357328,2.7985
1777903250,0.325212,3.0749
1777903250,0.330487,3.0258
1777903250,0.320746,3.1177
1777903250,0.335727,2.9786
1777903250,0.329069,3.0389
1777903250,0.331897,3.0130
1777903250,0.327955,3.0492
1777903250,0.325016,3.0768
1777903250,0.326322,3.0645
1777903250,0.316621,3.1584
1777903254,0.316652,3.1580
1777903254,0.3546,2.8201
1777903254,0.326766,3.0603
1777903254,0.319933,3.1257
1777903254,0.363837,2.7485
1777903254,0.327683,3.0517
1777903254,0.32108,3.1145
1777903254,0.325945,3.0680
1777903254,0.31367,3.1881
1777903254,0.340357,2.9381
1777903258,0.318387,3.1408
1777903258,0.32414,3.0851
1777903258,0.337771,2.9606
1777903258,0.31919,3.1329
1777903258,0.335184,2.9834
1777903258,0.329425,3.0356
1777903258,0.317227,3.1523
1777903258,0.328272,3.0463
1777903258,0.358525,2.7892
1777903258,0.342289,2.9215
1777903262,0.318884,3.1359
1777903262,0.348601,2.8686
1777903262,0.325658,3.0707
1777903262,0.31701,3.1545
1777903262,0.332129,3.0109
1777903262,0.355113,2.8160
1777903262,0.351016,2.8489
1777903262,0.349055,2.8649
1777903262,0.320411,3.1210
1777903262,0.317495,3.1497
1777903266,0.314039,3.1843
1777903266,0.329491,3.0350
1777903266,0.315824,3.1663
1777903266,0.327715,3.0514
1777903266,0.326003,3.0675
1777903266,0.315511,3.1695
1777903266,0.316573,3.1588
1777903266,0.34201,2.9239
1777903266,0.318917,3.1356
1777903266,0.32031,3.1220
1777903270,0.319554,3.1294
1777903270,0.34725,2.8798
1777903270,0.318577,3.1390
1777903270,0.319073,3.1341
1777903270,0.345306,2.8960
1777903270,0.324428,3.0823
1777903270,0.325888,3.0685
1777903270,0.333207,3.0011
1777903270,0.32127,3.1126
1777903270,0.318195,3.1427
1777903274,0.313095,3.1939
1777903274,0.320379,3.1213
1777903274,0.331753,3.0143
1777903274,0.315024,3.1744
1777903274,0.320257,3.1225
1777903274,0.321963,3.1059
1777903274,0.312251,3.2026
1777903274,0.326862,3.0594
1777903274,0.329803,3.0321
1777903274,0.320618,3.1190
1777903278,0.316374,3.1608
1777903278,0.319627,3.1286
1777903278,0.33034,3.0272
1777903278,0.321185,3.1135
1777903278,0.328368,3.0454
1777903278,0.317918,3.1455
1777903278,0.324801,3.0788
1777903278,0.324687,3.0799
1777903278,0.305551,3.2728
1777903278,0.327584,3.0527
1777903282,0.323272,3.0934
1777903282,0.315504,3.1695
1777903282,0.315912,3.1654
1777903282,0.328815,3.0412
1777903282,0.316705,3.1575
1777903282,0.31714,3.1532
1777903282,0.324579,3.0809
1777903282,0.341855,2.9252
1777903282,0.334712,2.9876
1777903282,0.331758,3.0142
1777903286,0.324862,3.0782
1777903286,0.326899,3.0590
1777903286,0.331759,3.0142
1777903286,0.333016,3.0029
1777903286,0.314987,3.1747
1777903286,0.322335,3.1024
1777903286,0.32311,3.0949
1777903286,0.323316,3.0929
1777903286,0.323825,3.0881
1777903286,0.326191,3.0657
1777903290,0.330397,3.0267
1777903290,0.319801,3.1269
1777903290,0.325067,3.0763
1777903290,0.326971,3.0584
1777903290,0.320828,3.1169
1777903290,0.315171,3.1729
1777903290,0.318742,3.1373
1777903290,0.324738,3.0794
1777903290,0.316497,3.1596
1777903290,0.316414,3.1604
