t_unix,interval_s,hz_inst
1777904492,0.0816487,12.2476
1777904492,0.4558,2.1939
1777904492,0.445036,2.2470
1777904492,0.418009,2.3923
1777904492,0.466293,2.1446
1777904492,0.42711,2.3413
1777904492,0.43904,2.2777
1777904492,0.500893,1.9964
1777904492,0.432241,2.3135
1777904492,0.448763,2.2283
1777904497,0.510419,1.9592
1777904497,0.463109,2.1593
1777904497,0.447661,2.2338
1777904497,0.443964,2.2524
1777904497,0.437816,2.2841
1777904497,0.491633,2.0340
1777904497,0.435821,2.2945
1777904497,0.414149,2.4146
1777904497,0.453015,2.2074
1777904497,0.417938,2.3927
1777904502,0.443148,2.2566
1777904502,0.442459,2.2601
1777904502,0.500957,1.9962
1777904502,0.448432,2.2300
1777904502,0.417294,2.3964
1777904502,0.472487,2.1165
1777904502,0.449865,2.2229
1777904502,0.445754,2.2434
1777904502,0.482703,2.0717
1777904502,0.433825,2.3051
1777904508,0.45135,2.2156
1777904508,0.518385,1.9291
1777904508,0.467525,2.1389
1777904508,0.462844,2.1606
1777904508,0.487464,2.0514
1777904508,0.422087,2.3692
1777904508,0.48357,2.0680
1777904508,0.427436,2.3395
1777904508,0.462567,2.1618
1777904508,0.516927,1.9345
1777904514,0.515352,1.9404
1777904514,0.436215,2.2924
1777904514,0.448208,2.2311
1777904514,0.437479,2.2858
1777904514,0.469295,2.1309
1777904514,0.449134,2.2265
1777904514,0.430415,2.3233
1777904514,0.438483,2.2806
1777904514,0.480572,2.0809
1777904514,0.434403,2.3020
1777904519,0.467652,2.1383
1777904519,0.495783,2.0170
1777904519,0.431939,2.3151
1777904519,0.423014,2.3640
1777904519,0.482195,2.0738
1777904519,0.446133,2.2415
1777904519,0.439401,2.2758
1777904519,0.471913,2.1190
1777904519,0.438928,2.2783
1777904519,0.427885,2.3371
1777904525,0.477966,2.0922
1777904525,0.519681,1.9243
1777904525,0.459471,2.1764
1777904525,0.476117,2.1003
1777904525,0.490533,2.0386
1777904525,0.46867,2.1337
1777904525,0.505808,1.9770
1777904525,0.449478,2.2248
1777904525,0.501993,1.9921
1777904525,0.482038,2.0745
1777904530,0.447669,2.2338
1777904530,0.490329,2.0394
1777904530,0.488866,2.0456
1777904530,0.422924,2.3645
1777904530,0.511108,1.9565
1777904530,0.473456,2.1121
1777904530,0.494504,2.0222
1777904530,0.458317,2.1819
1777904530,0.410406,2.4366
1777904530,0.436524,2.2908
1777904536,0.448742,2.2285
1777904536,0.456491,2.1906
1777904536,0.439553,2.2750
1777904536,0.44099,2.2676
1777904536,0.441737,2.2638
1777904536,0.473385,2.1124
1777904536,0.451643,2.2141
1777904536,0.47873,2.0889
1777904536,0.436267,2.2922
1777904536,0.446443,2.2399
1777904541,0.476632,2.0981
1777904541,0.483603,2.0678
1777904541,0.46499,2.1506
1777904541,0.449037,2.2270
1777904541,0.477688,2.0934
1777904541,0.494628,2.0217
1777904541,0.496667,2.0134
1777904541,0.460301,2.1725
1777904541,0.451082,2.2169
1777904541,0.427488,2.3392
1777904547,0.449635,2.2240
1777904547,0.497121,2.0116
1777904547,0.443836,2.2531
1777904547,0.508395,1.9670
1777904547,0.481577,2.0765
1777904547,0.428432,2.3341
1777904547,0.456476,2.1907
1777904547,0.44543,2.2450
1777904547,0.439988,2.2728
1777904547,0.450541,2.2196
1777904552,0.479025,2.0876
1777904552,0.465662,2.1475
1777904552,0.435922,2.2940
1777904552,0.435448,2.2965
1777904552,0.411864,2.4280
1777904552,0.484679,2.0632
1777904552,0.486071,2.0573
1777904552,0.420949,2.3756
1777904552,0.431491,2.3175
1777904552,0.42131,2.3735
1777904558,0.415454,2.4070
1777904558,0.432783,2.3106
1777904558,0.448227,2.2310
1777904558,0.426544,2.3444
1777904558,0.461108,2.1687
1777904558,0.438579,2.2801
1777904558,0.418572,2.3891
1777904558,0.468271,2.1355
1777904558,0.439453,2.2756
1777904558,0.459373,2.1769
1777904563,0.464953,2.1508
1777904563,0.499734,2.0011
1777904563,0.483269,2.0692
1777904563,0.472093,2.1182
1777904563,0.442728,2.2587
1777904563,0.46391,2.1556
1777904563,0.437205,2.2873
1777904563,0.435046,2.2986
1777904563,0.430284,2.3240
1777904563,0.454528,2.2001
1777904568,0.466794,2.1423
1777904568,0.438197,2.2821
1777904568,0.511158,1.9563
1777904568,0.439846,2.2735
1777904568,0.459381,2.1768
1777904568,0.453662,2.2043
1777904568,0.448377,2.2303
1777904569,0.424953,2.3532
1777904569,0.428063,2.3361
1777904569,0.400549,2.4966
