t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777904671,46,17,3795,33.64,46
1777904672,15,9,3824,32.49,46
1777904673,17,9,3824,31.73,46
1777904674,22,9,3824,31.30,46
1777904675,21,8,3824,31.33,46
1777904676,40,11,3824,31.64,46
1777904677,19,8,3824,32.27,46
1777904678,27,10,3824,31.81,46
1777904679,19,8,3824,32.28,46
1777904680,33,11,3824,31.65,46
1777904681,24,8,3824,31.44,46
1777904682,24,8,3824,31.72,46
1777904683,46,12,3824,31.67,46
1777904684,36,10,3824,31.94,46
1777904685,24,8,3824,31.35,46
1777904686,42,11,3824,32.31,46
1777904687,39,11,3824,31.87,46
1777904688,43,18,3824,33.32,46
1777904689,18,10,3824,32.04,46
1777904690,32,11,3824,31.52,46
1777904691,22,8,3824,31.42,46
1777904692,25,8,3824,31.78,46
1777904693,37,10,3824,31.92,46
1777904694,35,9,3824,31.68,46
1777904695,26,8,3824,31.36,46
1777904696,26,8,3824,31.43,46
1777904697,17,8,3824,31.75,46
1777904698,17,8,3824,31.69,46
1777904699,33,10,3824,31.38,46
1777904700,42,12,3824,31.86,46
1777904701,28,9,3824,31.88,46
1777904702,28,9,3824,31.65,46
1777904703,28,9,3824,31.51,46
1777904704,28,9,3824,31.99,46
1777904705,32,10,3824,31.64,46
1777904706,27,8,3824,31.70,46
1777904707,17,8,3824,33.03,46
1777904708,17,8,3824,31.14,46
1777904709,28,9,3824,31.38,46
1777904710,27,9,3824,31.67,46
1777904711,26,8,3824,31.75,46
1777904712,31,9,3824,31.58,46
1777904713,52,13,3826,31.97,46
1777904714,38,14,3826,32.40,46
1777904715,17,9,3826,31.73,46
1777904716,33,10,3826,31.33,46
1777904717,38,10,3825,32.18,46
1777904718,34,9,3825,32.13,46
1777904719,25,8,3825,31.47,46
1777904720,25,8,3825,31.36,46
1777904721,25,8,3825,31.47,46
1777904722,25,8,3825,31.75,46
1777904723,25,8,3825,31.39,46
1777904724,33,9,3825,31.40,46
1777904725,25,8,3825,31.44,46
1777904726,24,8,3825,31.45,46
1777904727,25,8,3825,31.44,46
1777904728,25,8,3825,31.49,46
1777904729,25,8,3825,31.69,46
1777904730,26,8,3825,31.45,46
1777904731,30,9,3825,32.18,46
1777904732,28,10,3825,32.22,46
1777904733,18,8,3825,31.31,46
1777904734,29,9,3825,32.01,46
1777904735,29,9,3825,32.18,46
1777904736,31,9,3825,31.84,46
1777904737,25,8,3825,31.88,46
1777904738,26,8,3825,31.82,46
1777904739,24,9,3825,32.35,46
1777904740,21,8,3825,31.81,46
1777904741,26,8,3825,32.01,46
1777904742,27,9,3825,31.39,46
1777904743,28,9,3825,31.69,46
1777904744,34,11,3825,32.00,46
1777904745,39,11,3825,31.99,46
1777904746,27,9,3825,31.97,46
1777904747,27,9,3825,31.70,46
1777904748,27,9,3825,31.64,46
1777904749,30,10,3825,31.94,46
1777904750,23,9,3825,32.04,46
