t_unix,device,r_iops,w_iops,r_mb_s,w_mb_s,util_pct
1777907874,loop0,0.00,0.00,0.000,0.000,0.00
1777907874,loop1,0.00,0.00,0.000,0.000,0.00
1777907874,loop10,0.00,0.00,0.000,0.000,0.00
1777907874,loop11,0.00,0.00,0.000,0.000,0.00
1777907874,loop12,0.00,0.00,0.000,0.000,0.00
1777907874,loop13,0.00,0.00,0.000,0.000,0.00
1777907874,loop14,0.00,0.00,0.000,0.000,0.00
1777907874,loop15,0.00,0.00,0.000,0.000,0.00
1777907874,loop16,0.00,0.00,0.000,0.000,0.00
1777907874,loop17,0.00,0.00,0.000,0.000,0.00
1777907874,loop18,0.00,0.00,0.000,0.000,0.00
1777907874,loop19,0.00,0.00,0.000,0.000,0.00
1777907874,loop2,0.00,0.00,0.000,0.000,0.00
1777907874,loop20,0.00,0.00,0.000,0.000,0.00
1777907874,loop21,0.00,0.00,0.000,0.000,0.00
1777907874,loop22,0.00,0.00,0.000,0.000,0.00
1777907874,loop23,0.00,0.00,0.000,0.000,0.00
1777907874,loop24,0.00,0.00,0.000,0.000,0.00
1777907874,loop25,0.00,0.00,0.000,0.000,0.00
1777907874,loop26,0.00,0.00,0.000,0.000,0.00
1777907874,loop27,0.00,0.00,0.000,0.000,0.00
1777907874,loop28,0.00,0.00,0.000,0.000,0.00
1777907874,loop29,0.00,0.00,0.000,0.000,0.00
1777907874,loop3,0.00,0.00,0.000,0.000,0.00
1777907874,loop30,0.00,0.00,0.000,0.000,0.00
1777907874,loop31,0.00,0.00,0.000,0.000,0.00
1777907874,loop32,0.00,0.00,0.000,0.000,0.00
1777907874,loop33,0.00,0.00,0.000,0.000,0.00
1777907874,loop34,0.00,0.00,0.000,0.000,0.00
1777907874,loop35,0.00,0.00,0.000,0.000,0.00
1777907874,loop36,0.00,0.00,0.000,0.000,0.00
1777907874,loop37,0.00,0.00,0.000,0.000,0.00
1777907874,loop38,0.00,0.00,0.000,0.000,0.00
1777907874,loop39,0.00,0.00,0.000,0.000,0.00
1777907874,loop4,0.00,0.00,0.000,0.000,0.00
1777907874,loop40,0.00,0.00,0.000,0.000,0.00
1777907874,loop5,0.00,0.00,0.000,0.000,0.00
1777907874,loop6,0.00,0.00,0.000,0.000,0.00
1777907874,loop7,0.00,0.00,0.000,0.000,0.00
1777907874,loop8,0.00,0.00,0.000,0.000,0.00
1777907874,loop9,0.00,0.00,0.000,0.000,0.00
1777907874,nvme0n1,0.00,0.00,0.000,0.000,0.00
1777907875,loop0,0.00,0.00,0.000,0.000,0.00
1777907875,loop1,0.00,0.00,0.000,0.000,0.00
1777907875,loop10,0.00,0.00,0.000,0.000,0.00
1777907875,loop11,0.00,0.00,0.000,0.000,0.00
1777907875,loop12,0.00,0.00,0.000,0.000,0.00
1777907875,loop13,0.00,0.00,0.000,0.000,0.00
1777907875,loop14,0.00,0.00,0.000,0.000,0.00
1777907875,loop15,0.00,0.00,0.000,0.000,0.00
1777907875,loop16,0.00,0.00,0.000,0.000,0.00
1777907875,loop17,0.00,0.00,0.000,0.000,0.00
1777907875,loop18,0.00,0.00,0.000,0.000,0.00
1777907875,loop19,0.00,0.00,0.000,0.000,0.00
1777907875,loop2,0.00,0.00,0.000,0.000,0.00
1777907875,loop20,0.00,0.00,0.000,0.000,0.00
1777907875,loop21,0.00,0.00,0.000,0.000,0.00
1777907875,loop22,0.00,0.00,0.000,0.000,0.00
1777907875,loop23,0.00,0.00,0.000,0.000,0.00
1777907875,loop24,0.00,0.00,0.000,0.000,0.00
1777907875,loop25,0.00,0.00,0.000,0.000,0.00
1777907875,loop26,0.00,0.00,0.000,0.000,0.00
1777907875,loop27,0.00,0.00,0.000,0.000,0.00
1777907875,loop28,0.00,0.00,0.000,0.000,0.00
1777907875,loop29,0.00,0.00,0.000,0.000,0.00
1777907875,loop3,0.00,0.00,0.000,0.000,0.00
1777907875,loop30,0.00,0.00,0.000,0.000,0.00
1777907875,loop31,0.00,0.00,0.000,0.000,0.00
1777907875,loop32,0.00,0.00,0.000,0.000,0.00
1777907875,loop33,0.00,0.00,0.000,0.000,0.00
1777907875,loop34,0.00,0.00,0.000,0.000,0.00
1777907875,loop35,0.00,0.00,0.000,0.000,0.00
1777907875,loop36,0.00,0.00,0.000,0.000,0.00
1777907875,loop37,0.00,0.00,0.000,0.000,0.00
1777907875,loop38,0.00,0.00,0.000,0.000,0.00
1777907875,loop39,0.00,0.00,0.000,0.000,0.00
1777907875,loop4,0.00,0.00,0.000,0.000,0.00
1777907875,loop40,0.00,0.00,0.000,0.000,0.00
1777907875,loop5,0.00,0.00,0.000,0.000,0.00
1777907875,loop6,0.00,0.00,0.000,0.000,0.00
1777907875,loop7,0.00,0.00,0.000,0.000,0.00
1777907875,loop8,0.00,0.00,0.000,0.000,0.00
1777907875,loop9,0.00,0.00,0.000,0.000,0.00
1777907875,nvme0n1,0.00,0.00,0.000,0.000,0.00
1777907876,loop0,0.00,0.00,0.000,0.000,0.00
1777907876,loop1,0.00,0.00,0.000,0.000,0.00
1777907876,loop10,0.00,0.00,0.000,0.000,0.00
1777907876,loop11,0.00,0.00,0.000,0.000,0.00
1777907876,loop12,0.00,0.00,0.000,0.000,0.00
1777907876,loop13,0.00,0.00,0.000,0.000,0.00
1777907876,loop14,0.00,0.00,0.000,0.000,0.00
1777907876,loop15,0.00,0.00,0.000,0.000,0.00
1777907876,loop16,0.00,0.00,0.000,0.000,0.00
1777907876,loop17,0.00,0.00,0.000,0.000,0.00
1777907876,loop18,0.00,0.00,0.000,0.000,0.00
1777907876,loop19,0.00,0.00,0.000,0.000,0.00
1777907876,loop2,0.00,0.00,0.000,0.000,0.00
1777907876,loop20,0.00,0.00,0.000,0.000,0.00
1777907876,loop21,0.00,0.00,0.000,0.000,0.00
1777907876,loop22,0.00,0.00,0.000,0.000,0.00
1777907876,loop23,0.00,0.00,0.000,0.000,0.00
1777907876,loop24,0.00,0.00,0.000,0.000,0.00
1777907876,loop25,0.00,0.00,0.000,0.000,0.00
1777907876,loop26,0.00,0.00,0.000,0.000,0.00
1777907876,loop27,0.00,0.00,0.000,0.000,0.00
1777907876,loop28,0.00,0.00,0.000,0.000,0.00
1777907876,loop29,0.00,0.00,0.000,0.000,0.00
1777907876,loop3,0.00,0.00,0.000,0.000,0.00
1777907876,loop30,0.00,0.00,0.000,0.000,0.00
1777907876,loop31,0.00,0.00,0.000,0.000,0.00
1777907876,loop32,0.00,0.00,0.000,0.000,0.00
1777907876,loop33,0.00,0.00,0.000,0.000,0.00
1777907876,loop34,0.00,0.00,0.000,0.000,0.00
1777907876,loop35,0.00,0.00,0.000,0.000,0.00
1777907876,loop36,0.00,0.00,0.000,0.000,0.00
1777907876,loop37,0.00,0.00,0.000,0.000,0.00
1777907876,loop38,0.00,0.00,0.000,0.000,0.00
1777907876,loop39,0.00,0.00,0.000,0.000,0.00
1777907876,loop4,0.00,0.00,0.000,0.000,0.00
1777907876,loop40,0.00,0.00,0.000,0.000,0.00
1777907876,loop5,0.00,0.00,0.000,0.000,0.00
