t_unix,gpu_util_pct,mem_util_pct,mem_used_mb,power_w,temp_c
1777915707,51,45,2945,22.00,45
1777915708,9,8,2951,26.87,45
1777915709,8,7,2948,30.82,45
1777915710,16,9,3039,31.34,45
1777915711,41,16,3039,31.62,45
1777915712,10,7,3030,30.10,45
1777915713,8,6,3030,29.75,45
1777915714,14,7,3029,29.58,45
1777915715,9,6,2993,29.53,45
1777915716,9,6,2993,29.44,45
1777915717,14,7,2985,29.94,45
1777915718,21,9,2985,30.35,45
1777915719,20,9,2977,30.34,45
1777915720,9,6,2977,30.45,45
1777915721,16,8,3006,29.75,45
1777915722,14,8,3021,30.56,45
1777915723,13,7,3019,29.91,45
1777915724,26,10,2944,30.12,45
1777915725,17,8,2941,31.02,45
1777915726,9,6,2941,30.40,45
1777915727,14,7,2940,29.93,45
1777915728,26,10,2936,30.44,45
1777915729,21,9,2908,30.51,45
1777915730,8,6,2911,30.27,45
1777915731,9,6,2911,29.61,45
1777915732,12,7,2965,30.05,45
1777915733,9,6,3071,29.50,45
1777915734,8,6,3065,30.12,45
1777915735,9,6,2975,29.54,45
1777915736,9,6,2974,29.42,45
1777915737,43,38,3007,22.98,44
1777915738,83,68,3142,22.49,45
1777915739,4,5,3131,41.65,46
1777915740,6,7,3098,42.01,45
1777915741,7,7,3098,29.78,45
1777915742,9,7,3097,29.46,45
1777915743,10,7,2968,29.39,45
1777915744,95,71,2958,25.40,45
1777915745,4,4,2956,38.22,46
1777915746,4,5,2956,44.18,46
1777915747,7,7,2954,31.51,45
1777915748,8,7,2954,29.57,45
1777915749,10,7,2954,29.41,45
1777915750,8,6,2954,29.43,45
1777915751,9,6,2954,29.44,45
1777915752,9,6,2954,29.47,45
1777915753,44,39,2946,24.54,44
1777915754,43,39,2946,20.92,44
1777915755,42,38,2946,21.14,45
1777915756,41,42,2946,21.18,45
1777915757,6,6,2945,29.30,45
1777915758,44,39,2945,28.54,45
1777915759,44,39,2945,21.08,45
1777915760,43,39,2945,21.15,44
1777915761,6,6,2945,24.49,45
1777915762,6,6,2945,30.22,45
1777915763,8,6,2945,29.76,44
1777915764,9,6,2945,29.37,45
1777915765,9,6,2945,29.36,45
1777915766,42,38,2945,20.99,44
1777915767,42,38,2945,21.02,44
1777915768,42,38,2945,21.13,44
1777915769,6,6,2945,22.73,44
1777915770,6,6,2945,30.33,44
1777915771,8,6,2944,30.00,44
1777915772,9,6,2944,29.49,45
1777915773,8,6,2944,29.38,44
1777915774,9,6,2944,29.41,44
1777915775,43,39,2944,21.80,44
1777915776,43,39,2944,21.03,44
1777915777,42,38,2944,21.29,44
1777915778,6,6,2944,23.30,44
1777915779,6,6,2944,31.76,44
1777915780,8,6,2944,30.94,44
1777915781,9,6,2944,29.40,44
1777915782,9,7,2942,29.44,44
1777915783,10,7,2942,29.36,44
1777915784,45,39,2942,26.45,44
1777915785,44,39,2942,20.81,44
1777915786,43,39,2942,21.01,44
