t_unix,pid,cpu_pct_user,cpu_pct_system,cpu_pct_total,rss_kb
1777916993,3689687,106.00,1.00,107.00,822528
1777916994,3689687,107.00,2.00,109.00,822528
1777916995,3689687,107.00,2.00,109.00,822528
1777916996,3689687,108.00,3.00,111.00,822528
1777916997,3689687,107.00,2.00,109.00,822528
1777916998,3689687,108.00,2.00,110.00,822528
1777916999,3689687,106.00,2.00,108.00,822528
1777917000,3689687,105.00,3.00,108.00,822528
1777917001,3689687,108.00,2.00,110.00,822528
1777917002,3689687,107.00,2.00,109.00,822528
1777917003,3689687,107.00,2.00,109.00,822528
1777917004,3689687,105.00,3.00,108.00,822528
1777917005,3689687,106.00,2.00,108.00,822528
1777917006,3689687,106.00,2.00,108.00,822528
1777917007,3689687,108.00,2.00,110.00,822528
1777917008,3689687,107.00,2.00,109.00,822528
1777917009,3689687,109.00,2.00,111.00,822528
1777917010,3689687,106.00,3.00,109.00,822528
1777917011,3689687,106.00,2.00,108.00,822528
1777917012,3689687,107.00,2.00,109.00,822528
1777917013,3689687,105.00,2.00,107.00,822528
1777917014,3689687,106.00,4.00,110.00,822528
1777917015,3689687,107.00,2.00,109.00,822528
1777917016,3689687,109.00,1.00,110.00,822528
1777917017,3689687,112.00,2.00,114.00,822528
1777917018,3689687,105.00,3.00,108.00,822528
1777917019,3689687,105.00,2.00,107.00,822528
1777917020,3689687,105.00,3.00,108.00,822528
1777917021,3689687,106.00,2.00,108.00,822528
1777917022,3689687,107.00,3.00,110.00,822528
1777917023,3689687,107.00,1.00,108.00,822528
1777917024,3689687,107.00,3.00,110.00,822528
1777917025,3689687,106.00,2.00,108.00,822528
1777917026,3689687,106.00,3.00,109.00,822528
1777917027,3689687,105.00,2.00,107.00,822528
1777917029,3689687,108.00,2.00,110.00,822528
1777917030,3689687,107.00,3.00,110.00,822528
1777917031,3689687,105.00,2.00,107.00,822528
1777917032,3689687,107.00,2.00,109.00,822528
1777917033,3689687,106.00,2.00,108.00,822528
1777917034,3689687,107.00,2.00,109.00,822528
1777917035,3689687,110.00,3.00,113.00,822528
1777917036,3689687,108.00,1.00,109.00,822528
1777917037,3689687,105.00,2.00,107.00,822528
1777917038,3689687,105.00,2.00,107.00,822528
1777917039,3689687,106.00,2.00,108.00,822528
1777917040,3689687,105.00,4.00,109.00,822528
1777917041,3689687,107.00,2.00,109.00,822528
1777917042,3689687,105.00,3.00,108.00,822528
1777917043,3689687,107.00,3.00,110.00,822528
1777917044,3689687,107.00,2.00,109.00,822528
1777917045,3689687,107.00,2.00,109.00,822528
1777917046,3689687,106.00,3.00,109.00,822528
1777917047,3689687,108.00,2.00,110.00,822528
1777917048,3689687,109.00,2.00,111.00,822528
1777917049,3689687,107.00,2.00,109.00,822528
1777917050,3689687,107.00,2.00,109.00,822528
1777917051,3689687,108.00,2.00,110.00,822528
1777917052,3689687,108.00,2.00,110.00,822528
1777917053,3689687,108.00,2.00,110.00,822528
1777917054,3689687,107.00,3.00,110.00,822528
1777917055,3689687,107.00,2.00,109.00,822528
1777917056,3689687,107.00,2.00,109.00,822528
1777917057,3689687,107.00,2.00,109.00,822528
1777917058,3689687,108.00,3.00,111.00,822528
1777917059,3689687,105.00,3.00,108.00,822528
1777917060,3689687,108.00,1.00,109.00,822528
1777917061,3689687,106.00,2.00,108.00,822528
1777917062,3689687,106.00,3.00,109.00,822528
1777917063,3689687,105.00,3.00,108.00,822528
1777917064,3689687,108.00,3.00,111.00,822528
1777917065,3689687,110.00,3.00,113.00,822528
1777917066,3689687,107.00,2.00,109.00,822528
1777917067,3689687,105.00,2.00,107.00,822528
1777917068,3689687,105.00,3.00,108.00,822528
1777917069,3689687,107.00,2.00,109.00,822528
1777917070,3689687,106.00,2.00,108.00,822528
1777917071,3689687,107.00,2.00,109.00,822528
1777917072,3689687,105.00,3.00,108.00,822528
