condition,metric,p25,p50,p75,n
main_ogre19,rtf_p50,0.5576532612399198,0.5610715119703655,0.5614640286840743,5
main_ogre19,rtf_p10,0.5411820290964792,0.5475783153879076,0.5490071855974266,5
main_ogre19,cam_hz_mean,16.918996637931034,16.940698620689655,16.988654310344828,5
main_ogre19,cpu_p50_pct,109.0,109.0,109.0,5
main_ogre19,rss_peak_mb,818.0390625,818.19921875,818.30078125,5
main_ogre19,gpu_util_p50_pct,11.0,12.0,12.0,5
main_ogre19,vram_peak_mb,3029.0,3142.0,3186.0,5
main_ogre19,power_p50_w,29.07,29.479999999999997,30.39,5
main_ogre19,io_w_p50_mb_s,0.0,0.0,0.0,5
ogre112,rtf_p50,0.5543234177808105,0.5568834134658815,0.5611861229895507,5
ogre112,rtf_p10,0.5368779987804717,0.5375378916493848,0.5495270166663477,5
ogre112,cam_hz_mean,16.662324912280702,16.717373130434783,16.96369301724138,5
ogre112,cpu_p50_pct,109.0,109.0,109.0,5
ogre112,rss_peak_mb,803.25,803.30859375,803.32421875,5
ogre112,gpu_util_p50_pct,22.5,34.0,37.0,5
ogre112,vram_peak_mb,2746.0,2758.0,2772.0,5
ogre112,power_p50_w,29.755000000000003,30.485,33.375,5
ogre112,io_w_p50_mb_s,0.0,0.0,0.0,5
